IES,Sigla
Fundação Universidade do Estado de Santa Catarina,UDESC
Fundação Universidade Federal da Grande Dourados,UFGD
Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,UFCSPA
Fundação Universidade Federal de Rondônia,UNIR
Fundação Universidade Federal de Viçosa,UFV
Fundação Universidade Federal do Rio Grande,FURG
Fundação Universidade Federal do Tocantins,UFT
Fundação Universidade Federal do Vale do São Francisco,UNIVASF
Pontifícia Universidade Católica de Campinas,PUC-Campinas
Pontifícia Universidade Católica de Minas Gerais,PUC Minas
Pontifícia Universidade Católica de São Paulo,PUCSP
Pontifícia Universidade Católica do Paraná,PUCPR
Pontifícia Universidade Católica do Rio de Janeiro,PUC-Rio
Pontifícia Universidade Católica do Rio Grande do Sul,PUCRS
Universidade Anhembi Morumbi,UAM
Universidade Bandeirante de São Paulo,UNIBAN
Universidade Braz Cubas,UBC
Universidade Camilo Castelo Branco,UNICASTELO
Universidade Cândido Mendes,UCAM
Universidade Castelo Branco,UCB
Universidade Católica de Brasília,UCB
Universidade Católica de Goiás,UCG
Universidade Católica de Pelotas,UCPEL
Universidade Católica de Pernambuco,UNICAP
Universidade Católica de Petrópolis,UCP
Universidade Católica de Santos,UNISANTOS
Universidade Católica do Salvador,UCSAL
Universidade Católica Dom Bosco,UCDB
Universidade Cidade de São Paulo,UNICID
Universidade Comunitária Regional de Chapecó,UNOCHAPECÓ
Universidade Cruzeiro do Sul,UNICSUL
Universidade da Amazônia,UNAMA
Universidade da Região da Campanha,URCAMP
Universidade da Região de Joinville,UNIVILLE
Universidade de Brasília,UnB
Universidade de Caxias do Sul,UCS
Universidade de Cruz Alta,UNICRUZ
Universidade de Cuiabá,UNIC
Universidade de Fortaleza,UNIFOR
Universidade de Franca,UNIFRAN
Universidade de Itaúna,UI
Universidade de Marília,UNIMAR
Universidade de Passo Fundo,UPF
Universidade de Pernambuco,UPE
Universidade de Ribeirão Preto,UNAERP
Universidade de Rio Verde,Fesurv
Universidade de Santa Cruz do Sul,UNISC
Universidade de Santo Amaro,UNISA
Universidade de Sorocaba,UNISO
Universidade de Taubaté,UNITAU
Universidade de Uberaba,UNIUBE
Universidade do Contestado,UnC
Universidade do Estado da Bahia,UNEB
Universidade do Estado de Mato Grosso,UNEMAT
Universidade do Estado de Minas Gerais,UEMG
Universidade do Estado do Pará,UEPA
Universidade do Estado do Rio de Janeiro,UERJ
Universidade do Estado do Rio Grande do Norte,UERN
Universidade do Extremo Sul Catarinense,UNESC
Universidade do Grande ABC,UniABC
Universidade do Grande Rio Professor José de Souza Herdy,UNIGRANRIO
Universidade do Oeste de Santa Catarina,UNOESC
Universidade do Oeste Paulista,UNOESTE
Universidade do Planalto Catarinense,UNIPLAC
Universidade do Sagrado Coração,USC
Universidade do Sul de Santa Catarina,UNISUL
Universidade do Tocantins,UNITINS
Universidade do Vale do Itajaí,UNIVALI
Universidade do Vale do Paraíba,UNIVAP
Universidade do Vale do Rio dos Sinos,UNISINOS
Universidade do Vale do Sapucaí,UNIVÁS
Universidade Estácio de Sá,UNESA
Universidade Estadual da Paraíba,UEPB
Universidade Estadual de Ciências da Saúde de Alagoas - Uncisal,UNCISAL
Universidade Estadual de Feira de Santana,UEFS
Universidade Estadual de Goiás,UEG
Universidade Estadual de Londrina,UEL
Universidade Estadual de Maringá,UEM
Universidade Estadual de Mato Grosso do Sul,UEMS
Universidade Estadual de Montes Claros,UNIMONTES
Universidade Estadual de Ponta Grossa,UEPG
Universidade Estadual de Roraima,UERR
